n,time,r
1075,225914,3370
1076,228539,3370
1077,217598,3370
1078,223990,3370
1079,310382,3370
1080,210955,3370
1081,413114,3370
1082,246121,3370
1083,217057,3370
1084,733094,3370
1085,961021,3370
1086,267592,3370
1087,228618,3370
1088,436328,3370
1089,192871,3370
1090,235501,3370
1091,453550,3370
1092,212068,3370
1093,510638,3370
1094,225653,3370
1095,580288,3370
1096,1553652,3436
1097,342502,3436
1098,378309,3436
1099,290915,3436
1100,199134,3436
1101,289232,3436
1102,252303,3436
1103,237515,3436
1104,333055,3436
1105,258464,3436
1106,203191,3436
1107,219421,3436
1108,527899,3436
1109,428423,3436
1110,537647,3436
1111,287849,3436
1112,252954,3436
1113,391975,3436
1114,360556,3436
1115,413706,3436
1116,228254,3436
1117,235223,3436
1118,634923,3494
1119,216217,3494
1120,259126,3494
1121,288176,3494
1122,397577,3494
1123,592845,3494
1124,286123,3494
1125,238268,3494
1126,378520,3494
1127,203110,3494
1128,303547,3494
1129,196340,3494
1130,361187,3494
1131,214185,3494
1132,273797,3494
1133,438633,3494
1134,214355,3494
1135,462295,3494
1136,408992,3494
1137,1150462,3494
1138,339056,3494
1139,294876,3494
1140,201727,3494
1141,321502,3494
1142,194167,3494
1143,313090,3494
1144,480631,3494
1145,237267,3494
1146,354708,3494
1147,251887,3494
1148,337544,3494
1149,352955,3494
1150,398668,3494
1151,210480,3494
1152,451952,3494
1153,618630,3494
1154,258125,3494
1155,192825,3494
1156,224108,3494
1157,190472,3494
1158,658005,3494
1159,383767,3494
1160,559239,3494
1161,619001,3494
1162,218670,3505
1163,203590,3505
1164,296818,3505
1165,188579,3505
1166,194447,3505
1167,224458,3505
1168,236625,3505
1169,298250,3505
1170,234613,3505
1171,230847,3551
1172,872780,3551
1173,190482,3551
1174,304739,3551
1175,262240,3551
1176,269822,3551
1177,1006363,3551
1178,636205,3551
1179,300854,3551
1180,891917,3551
1181,270622,3551
1182,620103,3551
1183,252948,3551
1184,333088,3551
1185,189911,3551
1186,226321,3551
1187,282138,3551
1188,365793,3551
1189,238568,3551
1190,282629,3551
1191,1339922,3551
1192,496283,3551
1193,248181,3551
1194,275029,3551
1195,186496,3551
1196,213654,3551
1197,245198,3551
1198,300323,3551
1199,213915,3551
1200,215386,3551
1201,526103,3551
1202,197322,3551
1203,230347,3551
1204,331646,3551
1205,200826,3551
1206,233311,3551
1207,202128,3551
1208,243245,3551
1209,189350,3551
1210,1165473,3551
1211,233921,3551
1212,199585,3551
1213,228335,3551
1214,299231,3551
1215,479289,3551
1216,1426292,3551
1217,289428,3551
1218,286844,3551
1219,199144,3551
1220,187377,3551
1221,290069,3551
1222,214595,3551
1223,297079,3551
1224,213674,3551
1225,563615,3551
1226,188259,3551
1227,320951,3551
1228,367065,3551
1229,1081517,3608
1230,201336,3608
1231,278072,3608
1232,480300,3608
1233,295547,3608
1234,215046,3608
1235,224599,3608
1236,189060,3608
1237,493959,3608
1238,275809,3608
1239,215366,3608
1240,196821,3608
1241,193346,3608
1242,207695,3608
1243,255481,3608
1244,264373,3608
1245,191153,3608
1246,187899,3608
1247,218921,3608
1248,222906,3608
1249,414921,3608
1250,1213709,3608
1251,2159751,3676
1252,272145,3676
1253,192916,3676
1254,195649,3676
1255,267908,3676
1256,320972,3676
1257,810335,3676
1258,233711,3676
1259,216348,3676
1260,419637,3676
1261,195519,3676
1262,551068,3676
1263,497114,3676
1264,460363,3676
1265,558879,3676
1266,326299,3676
1267,189381,3676
1268,353936,3676
1269,192605,3676
1270,362318,3676
1271,609719,3676
1272,190212,3676
1273,189190,3676
1274,323335,3676
1275,234082,3676
1276,505305,3676
