n,time,fn
483,6653544216,3866
484,6685050486,3787
485,6725826374,3471
486,6750847057,4129
487,6775590059,4372
488,6805687669,3908
489,6835074086,4114
490,6858684967,4080
491,6898561409,3675
492,6950765659,3884
493,6998340071,3796
494,7032636853,3832
495,7017168867,3503
496,7071008032,3473
497,7074078245,3970
498,7154104967,3792
499,7146790568,3633
500,7171086411,4315
