n,time,memory,collisions,hash_calls
100000,0.98,127040,0,0
100000,0.98,127028,0,0
100000,0.86,127100,0,0
100000,0.86,127220,0,0
100000,0.89,127092,0,0
100000,0.82,127020,0,0
100000,0.77,127100,0,0
100000,0.81,126976,0,0
100000,0.97,127092,0,0
100000,0.79,127024,0,0
100000,0.87,127092,0,0
100000,0.78,127024,0,0
100000,0.81,127092,0,0
100000,0.78,126984,0,0
100000,0.88,127012,0,0
100000,0.83,127100,0,0
100000,0.79,127216,0,0
100000,0.79,127064,0,0
100000,0.78,127008,0,0
100000,0.80,127040,0,0
100000,0.79,127068,0,0
100000,0.99,127052,0,0
100000,0.90,127092,0,0
100000,0.87,126972,0,0
100000,0.78,127208,0,0
100000,0.77,127220,0,0
100000,0.80,127108,0,0
100000,0.78,127096,0,0
100000,0.91,127112,0,0
100000,0.82,127096,0,0
100000,0.90,127000,0,0
100000,0.92,127208,0,0
100000,0.89,127104,0,0
100000,0.82,126972,0,0
100000,0.84,127100,0,0
100000,0.82,126976,0,0
100000,0.81,127044,0,0
100000,0.79,127104,0,0
100000,0.78,127092,0,0
100000,0.80,126972,0,0
100000,0.79,127096,0,0
100000,0.80,126964,0,0
100000,0.79,127220,0,0
100000,0.78,126972,0,0
100000,0.80,127044,0,0
100000,0.79,127096,0,0
100000,0.80,127096,0,0
100000,0.84,127100,0,0
100000,0.80,126984,0,0
100000,0.79,126976,0,0
100000,0.79,127092,0,0
100000,0.78,127088,0,0
100000,0.80,126980,0,0
100000,0.81,127108,0,0
100000,0.81,127224,0,0
100000,0.83,127100,0,0
100000,0.84,127108,0,0
100000,0.82,127228,0,0
100000,0.80,127096,0,0
100000,0.86,127220,0,0
100000,0.81,126956,0,0
100000,0.80,126972,0,0
100000,0.81,127216,0,0
100000,0.79,127148,0,0
100000,0.79,127220,0,0
100000,0.79,127092,0,0
100000,0.81,126976,0,0
100000,0.89,126960,0,0
100000,0.86,127092,0,0
100000,0.87,127100,0,0
100000,0.89,127104,0,0
100000,0.98,127100,0,0
100000,0.87,127228,0,0
100000,0.88,127108,0,0
100000,0.87,127088,0,0
100000,0.81,127180,0,0
100000,0.82,127100,0,0
100000,0.82,127196,0,0
100000,0.86,127212,0,0
100000,0.81,127092,0,0
100000,0.88,127104,0,0
100000,0.82,127004,0,0
100000,0.85,127024,0,0
100000,0.84,126892,0,0
100000,0.82,127096,0,0
100000,0.91,127096,0,0
100000,0.80,127220,0,0
100000,0.80,127220,0,0
100000,0.88,127100,0,0
100000,0.80,127016,0,0
100000,0.81,127100,0,0
100000,0.81,126972,0,0
100000,0.85,126968,0,0
100000,0.83,127100,0,0
100000,0.85,127096,0,0
100000,0.79,127216,0,0
100000,0.80,127092,0,0
