n,time,memory,collisions
2951,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
3001,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
3051,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
3101,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
3151,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
3201,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
3251,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 41, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
3301,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
3351,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
3401,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 41, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
3451,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
3501,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
3551,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
3601,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
3651,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
3701,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
3751,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
