n,time,fn
665,20937348,4626
666,20499638,5100
667,20535144,5169
668,20948879,5262
669,20693481,5062
670,21370159,4801
671,20739848,5388
672,21406467,5297
673,21284579,5637
674,21039239,5474
675,20916739,4911
677,21161819,5069
678,22042169,5122
679,22289674,4987
680,21326328,5025
681,21168081,5406
682,21511545,4934
683,21923036,5740
684,21832777,5101
685,21531171,5199
686,21430103,5588
687,21453045,5011
688,22134323,5476
689,21512226,5138
690,22130636,5250
691,21698355,5853
692,21449559,5208
693,21913228,5289
694,21988870,5245
695,21933345,4788
696,24566853,5332
697,22085511,5366
698,22184446,5404
699,22487234,5278
700,22429205,5216
701,23119500,5766
702,22664176,5707
703,26969539,4940
704,22375064,5613
705,22758062,5560
706,22604394,5407
707,23275893,5049
708,22556745,5733
709,22970651,5114
710,22802696,5519
711,22895560,5434
712,22932609,5580
713,22994234,5746
714,22824266,5236
715,23088091,5397
716,24198613,5210
717,30475963,5573
718,23217614,5403
719,24493907,5468
720,23282997,5274
721,23329043,5538
722,23266135,5447
723,23218716,5041
724,24685133,5372
725,23696394,5215
726,24083114,5474
727,23603397,5812
728,24077215,5333
729,24277922,5743
730,25059638,5493
731,24525677,5462
732,24189436,5795
733,24369684,5402
734,24855034,5419
735,24907302,5467
736,24664356,5895
737,26124163,5387
738,24660970,6043
739,24890410,5711
740,25078543,4885
741,24870503,5647
742,25445902,5358
743,25476419,5758
744,24641524,5658
745,25482300,5820
746,25586385,5540
747,25182568,5718
748,25559665,5411
749,26032963,5696
750,25255244,5822
751,25986215,5511
752,25879915,6041
753,26108695,5540
754,25907497,5558
755,26109787,5708
756,25586606,5002
757,26238267,5781
758,25927325,6117
759,25864707,6240
760,26165922,5423
761,26117822,5709
762,26658906,5081
763,26508635,6133
764,26148769,6232
765,26881774,6020
766,26746490,5973
767,26897924,5732
768,27250756,5586
769,27107497,5471
770,26475202,5635
771,26767320,5509
772,27372905,5552
773,27540970,5908
774,27370080,5754
775,27555137,6568
776,27175374,6179
777,27393734,5889
778,27213345,5624
779,27151259,6031
780,27420374,5608
781,27465027,5625
782,27240797,5815
783,27405957,6227
784,27346044,5879
785,27434611,5993
786,27576967,6531
787,28296186,5991
788,28863580,6120
789,28647134,6093
790,27933656,5529
791,27857132,6944
792,28031420,6089
793,29092770,6058
794,28442941,5949
795,28803067,6234
796,28356078,6362
797,28555352,5842
798,28766909,5689
799,29246528,6018
800,28365085,6426
801,29268940,6476
802,36411423,6495
803,28978495,6241
804,32690045,6334
805,28801874,6597
806,28910217,6611
807,29685231,5888
808,29258821,6319
809,29202355,6263
810,29504973,6113
811,31061090,6676
812,30223380,6443
813,29934538,6367
814,30140665,6263
815,30192733,6540
816,30004580,6254
817,30559681,6031
818,30117351,6050
819,30323898,6309
820,29562841,6124
821,29857203,6232
822,29987046,6295
823,30629721,7167
824,30869031,6058
825,31204038,5563
826,30133421,6050
827,30412244,6147
828,30397586,5830
829,31775740,6844
830,30533351,6528
831,30834846,6346
832,31421677,6440
833,31551090,6124
834,30984166,6466
835,35131974,6174
836,31307343,5771
837,31044970,5944
838,30765987,5981
839,32309321,6468
840,31287375,6234
841,30825348,6509
842,31693176,5958
843,31980324,6671
844,31420334,6823
845,32385604,6324
846,31510483,5957
847,32235974,6917
848,32172414,6758
849,32053912,6755
850,32239269,6635
851,32676299,6379
852,32384011,6458
853,32258736,6128
854,32533732,6813
855,33061761,6844
856,33299747,6316
857,32190258,6906
858,32617830,6238
859,32871816,7063
860,33511164,6903
861,33629867,6696
862,33160577,6420
863,33994781,6418
864,33492669,6654
865,33223064,6941
866,34040247,6621
867,33639786,6355
868,34105970,6470
869,33839951,6693
870,32979597,6532
871,35040582,6758
872,33917706,6573
873,33689489,7074
874,34015059,6659
875,33594169,6617
876,33671555,6900
877,34265558,6623
878,34139172,6034
879,34503155,6695
880,35651367,6585
881,35450290,6997
882,34122801,6655
883,34713719,6412
884,34706265,7074
885,34018606,6514
886,34872086,7111
887,34762110,6418
888,35677156,6729
889,35116715,6970
890,35415475,6541
891,35448857,6873
892,35085085,6568
893,35218896,6770
894,34779913,6906
895,35064718,6977
896,35120632,6733
897,36561554,6516
898,35828259,6793
899,36005341,6720
900,36674566,7179
901,36848322,7049
902,36756149,6780
903,35613937,6825
904,35205942,6989
905,35780610,7225
906,37090706,6493
907,36489829,6729
908,36152707,6929
909,36928492,6715
910,37035963,7540
911,38074911,6817
912,37052345,7118
913,38255179,6659
914,36735921,6930
915,37130150,6971
916,37743390,7430
917,37114651,6844
918,37152762,6918
919,38362431,7007
920,38322456,7081
921,37933827,7031
922,37742488,7209
923,38979798,7101
924,38828675,7049
925,38703489,7180
926,37981056,7121
927,39020235,6907
928,39337279,7098
929,39461361,7132
930,38599264,7467
931,39201554,6736
932,38794180,7169
933,38938130,7419
934,39020986,7443
935,38501812,7427
936,39579803,6771
937,39314004,7168
938,39686182,7298
939,39388695,6865
940,39971438,7245
941,40109045,7701
942,39533496,7382
943,40689094,7500
944,39721980,7197
945,40562346,7384
946,39823250,7544
947,41284559,7004
948,40515708,7639
949,40591049,7058
950,40246273,7368
951,41120192,7015
952,41092209,7015
953,40087294,6545
954,41548344,7108
955,41338941,7823
956,40779974,6895
958,40750719,7249
959,40487485,7250
960,41102478,7342
961,40641443,7622
962,39758257,7210
963,40658987,7204
964,40163026,7606
965,41140119,7173
966,40147217,7757
967,41469136,7097
968,40350648,7490
969,41150839,7436
970,40411743,6945
971,41743490,7529
972,40821050,7255
973,41064317,7173
974,42253537,7321
975,41795688,7502
976,41594110,6968
977,42081795,7621
978,41801950,7621
979,41862243,7308
980,42415079,7216
981,42369304,7352
982,42112141,7765
983,42738095,7683
984,42758273,7374
985,42224993,7658
986,43042496,7722
987,42217990,7273
988,43458065,7464
989,42815210,7515
990,43092429,6935
991,42707778,7196
992,43750413,8064
993,43105855,7766
994,42472758,7991
995,43682235,7604
996,43444700,7311
997,43480357,7676
998,44000061,7941
999,44203232,8141
1000,43807630,7725
