n,time,r
487,4967149,2379
488,739956,2379
489,9084992,2379
490,20309122,2379
491,769917,2379
492,64855247,2379
493,5280021,2379
494,257345089,2379
495,95152815,2379
496,20969549,2379
497,1309698,2379
498,1384826,2379
499,1225408,2379
500,9481644,2379
501,159176377,2379
502,24532255,2379
503,1191668,2478
504,118766198,2478
505,1296617,2478
506,28765612,2478
507,42339357,2478
508,1992329,2478
509,19013416,2478
510,10646017,2478
511,1274996,2478
512,1350415,2478
513,1261684,2478
514,67473290,2478
515,55651122,2478
516,1269944,2478
517,15621666,2478
518,22070541,2478
519,15741801,2478
520,127126972,2478
521,1090338,2478
522,1146581,2478
523,1294031,2478
524,1431818,2478
525,67386565,2478
526,25251872,2478
527,104749120,2478
528,11573799,2478
529,1391393,2478
530,79207660,2478
531,1345073,2478
532,61784960,2478
533,1156575,2478
534,12943209,2478
535,361435146,2478
536,33581000,2478
537,3133557,2478
538,239600756,2478
539,2306755,2478
540,1971449,2478
541,171920033,2478
542,29442629,2478
543,2544318,2478
544,1387483,2516
545,48098667,2516
546,172230590,2516
547,14855848,2516
548,1531926,2516
549,1306150,2516
550,101503107,2516
551,68043293,2516
552,1763966,2516
553,1651289,2516
554,10309078,2516
555,1341022,2516
556,312144179,2516
557,1403822,2516
558,9290079,2516
559,1582807,2516
560,28045483,2516
561,40272352,2516
562,1451645,2516
563,55202497,2516
564,1673452,2516
565,1569705,2516
566,499277719,2516
567,96798189,2516
568,280278981,2516
569,1891209,2516
570,94262632,2516
571,7850913,2516
572,1742305,2516
573,18062890,2516
574,25838415,2516
575,164154943,2516
576,14130608,2516
577,1609560,2516
578,130628011,2516
579,17230665,2516
580,34142213,2516
581,19027810,2516
582,3045588,2516
583,17130618,2516
584,24444175,2516
585,219872202,2516
586,122069779,2516
587,1504280,2516
588,68263225,2516
589,16007412,2516
590,109798895,2516
591,438624296,2516
592,1447134,2516
593,23225884,2516
594,33008873,2516
595,67504825,2516
596,2132260,2516
597,104931042,2516
598,97112717,2516
599,1461278,2516
600,2088366,2516
601,1613950,2516
602,37949610,2516
603,128099781,2516
604,7427108,2516
605,77686280,2516
606,93620618,2516
607,109042822,2516
608,4948715,2516
609,3166976,2516
610,62389164,2516
611,1754153,2516
612,63643270,2516
613,1989842,2516
614,101623262,2516
615,1471232,2516
616,2028464,2516
617,2116894,2516
618,30250817,2516
619,1791091,2516
620,1761229,2516
621,2549250,2516
622,2728075,2516
623,1962578,2516
624,1658586,2516
625,290261573,2516
626,1778110,2516
627,1713045,2516
628,1940797,2516
629,2059478,2516
630,201005213,2516
631,327283952,2516
632,11140901,2516
633,30747606,2516
634,36368667,2516
635,26508475,2516
636,54403480,2516
637,1575950,2516
638,22554240,2516
639,2050717,2516
640,173981315,2516
641,172162980,2516
642,798732171,2516
643,8892515,2516
644,1674755,2516
645,14533514,2516
646,124972639,2516
647,105846515,2516
648,58786062,2516
649,46470583,2516
650,49480065,2516
651,64671952,2516
652,2547687,2516
653,4651058,2516
654,2730691,2516
655,2823331,2516
656,244712337,2516
657,29113207,2516
658,6246635,2516
659,2036173,2516
660,87529602,2516
661,63763426,2516
662,3991213,2516
663,24983445,2516
664,394050475,2516
665,83832246,2516
666,4749883,2516
667,1983317,2516
668,62016209,2516
669,230319358,2574
670,2202036,2574
671,66539534,2574
672,473570086,2574
673,2517294,2574
674,45053089,2574
675,9758962,2574
676,116418226,2574
677,1866891,2574
678,84054864,2574
679,2416255,2574
680,2243755,2574
681,209014392,2574
682,164119890,2574
683,2319084,2574
684,5885549,2574
685,296624124,2574
686,2135088,2658
687,31041243,2658
688,2114558,2658
689,2225612,2658
690,3805251,2658
691,24946377,2658
692,123216922,2658
693,74630687,2658
694,104915415,2658
695,235536188,2658
696,83768274,2658
697,2097228,2658
698,264053531,2658
699,3397714,2658
700,25311564,2658
701,237355838,2658
702,126679860,2658
703,37226553,2658
704,169667376,2658
705,4579659,2658
706,4689039,2658
707,2097438,2658
708,14169620,2658
709,1926643,2658
710,74467250,2658
711,6364405,2658
712,3081814,2658
713,4066161,2658
714,2176576,2658
715,38488519,2658
716,97414903,2658
717,561466889,2658
718,5462144,2658
719,2634192,2658
720,4083452,2658
721,33909741,2658
722,151017884,2658
723,53277618,2658
724,6862136,2658
725,9998991,2658
726,22156997,2658
727,4194626,2658
728,448383539,2658
729,300079405,2658
730,56707990,2658
731,2305863,2658
732,4827848,2658
733,159603711,2681
734,2658099,2681
735,5522738,2681
736,148564021,2681
737,431914801,2681
738,405156664,2742
739,140342748,2742
740,264834264,2824
741,2283179,2824
742,32646913,2824
743,3169823,2824
744,2704435,2824
745,96577452,2824
746,41953816,2824
747,77167626,2824
748,2475090,2824
749,2334256,2824
750,768019981,2824
751,2628497,2824
752,3039838,2824
753,985334944,2892
754,81853039,2892
755,152982386,2892
756,61180687,2892
757,96586950,2892
758,3148442,2892
759,30886910,2892
760,3265191,2892
761,3698733,2892
762,3538283,2892
763,33168717,2892
764,108296430,2892
765,132879061,2892
766,28991326,2892
767,36930719,2892
768,140145343,2892
769,53802277,2892
770,3090483,2892
771,2466564,2892
772,418214174,2892
773,2933519,2892
774,103292349,2892
775,2535273,2892
776,20035899,2892
777,3408570,2892
778,3143042,2892
779,341908943,2892
780,5611309,2892
781,6643354,2892
782,3152930,2892
783,35381184,2892
784,2703007,2892
785,25407728,2892
786,43016548,2892
787,441531123,2892
788,17521315,2892
789,1778047744,2892
790,3767662,2892
791,2710648,2892
792,3139017,2892
793,2699012,2892
794,49546459,2892
795,3444937,2892
796,3054531,2892
797,422497565,2892
798,63579658,2892
799,2876806,2892
800,2577986,2892
801,2802184,2892
802,72273405,2937
803,305029655,2937
804,401409263,2937
805,35492151,2937
806,163094518,2937
807,51262269,2937
808,3514484,2937
809,2618360,2937
810,217887973,2937
811,11437790,2937
812,2821421,2937
813,39405163,2937
